sg_iata_origem,nm_municipio_origem,sg_iata_destino,nm_municipio_destino,ocupacao
FOR,FORTALEZA,BVB,BOA VISTA,0.0
BAQ,BARRANQUILLA,GYE,GUAYAQUIL,0.5376344086021506
CKS,PARAUAPEBAS,SLZ,SÃO LUÍS,27.1505376344086
SLZ,SÃO LUÍS,CKS,PARAUAPEBAS,28.225806451612904
GIG,RIO DE JANEIRO,EZE,"EZEIZA, BUENOS AIRES PROVINCE",29.03225806451613
GYE,GUAYAQUIL,GIG,RIO DE JANEIRO,29.03225806451613
GIG,RIO DE JANEIRO,BAQ,BARRANQUILLA,29.56989247311828
EZE,"EZEIZA, BUENOS AIRES PROVINCE",GIG,RIO DE JANEIRO,29.56989247311828
GIG,RIO DE JANEIRO,SCL,SANTIAGO,30.64516129032258
SCL,SANTIAGO,GIG,RIO DE JANEIRO,30.64516129032258
ASU,ASUNCIÓN,CNF,CONFINS,31.72043010752688
CNF,CONFINS,ASU,ASUNCIÓN,31.72043010752688
RBR,RIO BRANCO,CZS,CRUZEIRO DO SUL,40.90392227931404
VCP,CAMPINAS,SDU,RIO DE JANEIRO,43.95445134575569
CNF,CONFINS,CKS,PARAUAPEBAS,44.17562724014337
CZS,CRUZEIRO DO SUL,RBR,RIO BRANCO,44.32460024190774
SDU,RIO DE JANEIRO,VCP,CAMPINAS,44.98511166253102
CKS,PARAUAPEBAS,CNF,CONFINS,45.878136200716845
CKS,PARAUAPEBAS,BSB,BRASÍLIA,48.757763975155285
