sg_iata_origem,nm_municipio_origem,sg_iata_destino,nm_municipio_destino,ocupacao
SDU,RIO DE JANEIRO,CWB,SÃO JOSÉ DOS PINHAIS,98.18404434386676
MAO,MANAUS,RBR,RIO BRANCO,97.31182795698925
NAT,SÃO GONÇALO DO AMARANTE,CNF,CONFINS,97.31182795698925
JDO,JUAZEIRO DO NORTE,GRU,GUARULHOS,96.67818740399386
GRU,GUARULHOS,JDO,JUAZEIRO DO NORTE,96.61489446435687
NVT,NAVEGANTES,CNF,CONFINS,96.23655913978494
SDU,RIO DE JANEIRO,POA,PORTO ALEGRE,96.16782458765496
IOS,ILHÉUS,GRU,GUARULHOS,96.01838442639334
PVH,PORTO VELHO,BSB,BRASÍLIA,95.93413978494624
BSB,BRASÍLIA,CGR,CAMPO GRANDE,95.85798816568047
BSB,BRASÍLIA,REC,RECIFE,95.77684276141498
SDU,RIO DE JANEIRO,SSA,SALVADOR,95.77006141700049
CGB,VÁRZEA GRANDE,BSB,BRASÍLIA,95.72452636968767
REC,RECIFE,GRU,GUARULHOS,95.36056704789712
CGB,VÁRZEA GRANDE,GRU,GUARULHOS,95.21584931307729
BPS,PORTO SEGURO,CNF,CONFINS,95.16129032258065
FLN,FLORIANÓPOLIS,POA,PORTO ALEGRE,95.16129032258065
GRU,GUARULHOS,CGB,VÁRZEA GRANDE,95.07989380885594
GRU,GUARULHOS,POA,PORTO ALEGRE,94.87980020550884
SDU,RIO DE JANEIRO,FLN,FLORIANÓPOLIS,94.6732470577365
CNF,CONFINS,AJU,ARACAJU,94.6236559139785
BSB,BRASÍLIA,POA,PORTO ALEGRE,94.55645161290322
REC,RECIFE,BSB,BRASÍLIA,94.54638720066488
GRU,GUARULHOS,REC,RECIFE,94.5159362453791
BSB,BRASÍLIA,NAT,SÃO GONÇALO DO AMARANTE,94.44444444444443
GRU,GUARULHOS,NVT,NAVEGANTES,94.20335689207899
REC,RECIFE,CGH,SÃO PAULO,94.14230007241093
BVB,BOA VISTA,BSB,BRASÍLIA,93.9784946236559
MCP,MACAPÁ,BSB,BRASÍLIA,93.9784946236559
JPA,SANTA RITA,GRU,GUARULHOS,93.9065893320621
SSA,SALVADOR,CGH,SÃO PAULO,93.88371796506439
POA,PORTO ALEGRE,BSB,BRASÍLIA,93.78227325192883
AJU,ARACAJU,GRU,GUARULHOS,93.76557589448151
GYN,GOIÂNIA,GRU,GUARULHOS,93.6537889413065
SSA,SALVADOR,SDU,RIO DE JANEIRO,93.56849255208651
GRU,GUARULHOS,GYN,GOIÂNIA,93.54257416436003
BEL,BELÉM,BSB,BRASÍLIA,93.52847471127039
GRU,GUARULHOS,MCZ,RIO LARGO,93.48822752749817
CGH,SÃO PAULO,SSA,SALVADOR,93.30471616586621
SSA,SALVADOR,GRU,GUARULHOS,93.17713102215515
STM,SANTARÉM,BEL,BELÉM,93.11827956989248
POA,PORTO ALEGRE,GRU,GUARULHOS,93.1013280950384
SSA,SALVADOR,GIG,RIO DE JANEIRO,93.09312317727468
POA,PORTO ALEGRE,SDU,RIO DE JANEIRO,93.06471358708889
SSA,SALVADOR,GYN,GOIÂNIA,93.01075268817205
REC,RECIFE,JPA,SANTA RITA,93.01075268817203
GYN,GOIÂNIA,SSA,SALVADOR,92.9581580177653
CGH,SÃO PAULO,POA,PORTO ALEGRE,92.93135690219407
BEL,BELÉM,GRU,GUARULHOS,92.82842449742871
GIG,RIO DE JANEIRO,NVT,NAVEGANTES,92.72401433691758
BSB,BRASÍLIA,MCZ,RIO LARGO,92.6747311827957
GRU,GUARULHOS,NAT,SÃO GONÇALO DO AMARANTE,92.62052463665367
