,ds,ds,y,yhat,Local_Venda,diff
0,2016-11-01,2016-11-01,851.0,1183.3925895921927,Ellipsis,332.39258959219273
1,2016-11-02,2016-11-02,1976.0,1975.5190839706092,Ellipsis,-0.4809160293907553
2,2016-11-03,2016-11-03,2455.0,2084.3344438330096,Ellipsis,-370.6655561669904
3,2016-11-04,2016-11-04,2378.0,1983.0786160319478,Ellipsis,-394.92138396805217
4,2016-11-05,2016-11-05,2381.0,1910.1868667144759,Ellipsis,-470.81313328552415
5,2016-11-06,2016-11-06,2356.0,2343.4754912360168,Ellipsis,-12.524508763983249
6,2016-11-07,2016-11-07,1854.0,2408.7352105030195,Ellipsis,554.7352105030195
7,2016-11-08,2016-11-08,2001.0,2349.6733637516977,Ellipsis,348.6733637516977
8,2016-11-09,2016-11-09,2731.0,3282.882994049009,Ellipsis,551.8829940490091
9,2016-11-10,2016-11-10,2595.0,2976.266344977352,Ellipsis,381.2663449773522
10,2016-11-11,2016-11-11,2749.0,3008.3714998236,Ellipsis,259.37149982360006
11,2016-11-12,2016-11-12,2732.0,2730.5317462873395,Ellipsis,-1.4682537126604984
12,2016-11-13,2016-11-13,2711.0,2592.079281759899,Ellipsis,-118.920718240101
13,2016-11-14,2016-11-14,3758.0,2480.601559147208,Ellipsis,-1277.3984408527922
14,2016-11-15,2016-11-15,2826.0,2825.55106700358,Ellipsis,-0.4489329964198987
15,2016-11-16,2016-11-16,3357.0,2926.7390449140935,Ellipsis,-430.2609550859065
16,2016-11-17,2016-11-17,2501.0,2473.400262706062,Ellipsis,-27.59973729393778
17,2016-11-18,2016-11-18,2556.0,2488.0672199764654,Ellipsis,-67.93278002353463
18,2016-11-19,2016-11-19,2597.0,2622.3442821192493,Ellipsis,25.34428211924933
19,2016-11-20,2016-11-20,2231.0,2445.978209311316,Ellipsis,214.97820931131582
20,2016-11-21,2016-11-21,1575.0,2166.2954417081096,Ellipsis,591.2954417081096
21,2016-11-22,2016-11-22,1717.0,2119.2363049273013,Ellipsis,402.23630492730126
22,2016-11-23,2016-11-23,2707.0,2901.981833073989,Ellipsis,194.98183307398904
23,2016-11-24,2016-11-24,2548.0,2403.9184840139824,Ellipsis,-144.08151598601762
24,2016-11-25,2016-11-25,2317.0,2269.3101381801484,Ellipsis,-47.68986181985156
25,2016-11-26,2016-11-26,2361.0,2276.1313216151225,Ellipsis,-84.86867838487751
26,2016-11-27,2016-11-27,2306.0,2059.7918795696487,Ellipsis,-246.2081204303513
27,2016-11-28,2016-11-28,1563.0,1568.402095450578,Ellipsis,5.402095450577917
28,2016-11-29,2016-11-29,1683.0,1606.07008911394,Ellipsis,-76.92991088606004
29,2016-11-30,2016-11-30,2654.0,2614.7212356478385,Ellipsis,-39.27876435216149
30,2016-12-01,2016-12-01,2388.0,2179.5665519150275,Ellipsis,-208.4334480849725
31,2016-12-02,2016-12-02,2538.0,2153.556978335108,Ellipsis,-384.44302166489206
32,2016-12-03,2016-12-03,2367.0,2282.9288391262744,Ellipsis,-84.0711608737256
33,2016-12-04,2016-12-04,2411.0,2218.839011127422,Ellipsis,-192.16098887257795
34,2016-12-05,2016-12-05,1484.0,1767.1327259686527,Ellipsis,283.1327259686527
35,2016-12-06,2016-12-06,1586.0,1937.7326943816802,Ellipsis,351.7326943816802
36,2016-12-07,2016-12-07,2632.0,3135.3970128756814,Ellipsis,503.3970128756814
37,2016-12-08,2016-12-08,2578.0,2664.254361096799,Ellipsis,86.25436109679913
38,2016-12-09,2016-12-09,2445.0,2670.2143016026243,Ellipsis,225.21430160262435
39,2016-12-10,2016-12-10,2332.0,2719.9580073709985,Ellipsis,387.95800737099853
40,2016-12-11,2016-12-11,2477.0,2728.9363338287694,Ellipsis,251.93633382876942
