,ds,ds,y,yhat,diff
0,2016-11-01,2016-11-01,4538.0,6000.4611208698525,1462.4611208698525
1,2016-11-02,2016-11-02,9730.0,9727.529474971112,-2.470525028888005
2,2016-11-03,2016-11-03,11416.0,9729.452815387547,-1686.5471846124528
3,2016-11-04,2016-11-04,10970.0,9577.424322450144,-1392.5756775498558
4,2016-11-05,2016-11-05,11600.0,9433.25230872887,-2166.74769127113
5,2016-11-06,2016-11-06,12670.0,12332.754297714335,-337.2457022856652
6,2016-11-07,2016-11-07,10619.0,13729.910864700316,3110.910864700316
7,2016-11-08,2016-11-08,9876.0,12290.755534354608,2414.7555343546082
8,2016-11-09,2016-11-09,13871.0,16375.148747992876,2504.1487479928765
9,2016-11-10,2016-11-10,13019.0,14796.79123307395,1777.7912330739491
10,2016-11-11,2016-11-11,13546.0,15029.110413535536,1483.1104135355363
11,2016-11-12,2016-11-12,12657.0,13274.971497762383,617.9714977623826
12,2016-11-13,2016-11-13,13712.0,12590.157627141252,-1121.8423728587477
13,2016-11-14,2016-11-14,24551.0,14099.817434021264,-10451.182565978736
14,2016-11-15,2016-11-15,15597.0,15594.973909037351,-2.0260909626485955
15,2016-11-16,2016-11-16,15471.0,13273.65863352047,-2197.34136647953
16,2016-11-17,2016-11-17,11227.0,11803.94315572703,576.9431557270309
17,2016-11-18,2016-11-18,11006.0,11015.1772751928,9.177275192800153
18,2016-11-19,2016-11-19,10961.0,12248.183415582254,1287.1834155822544
19,2016-11-20,2016-11-20,9911.0,11744.615682275858,1833.6156822758585
20,2016-11-21,2016-11-21,7238.0,10597.977486332233,3359.9774863322327
21,2016-11-22,2016-11-22,7129.0,9379.75778432839,2250.7577843283907
22,2016-11-23,2016-11-23,11457.0,12588.109193417302,1131.1091934173019
23,2016-11-24,2016-11-24,11050.0,10505.70934355789,-544.29065644211
24,2016-11-25,2016-11-25,10365.0,9732.697741241513,-632.3022587584874
25,2016-11-26,2016-11-26,10540.0,9894.350904558522,-645.6490954414785
26,2016-11-27,2016-11-27,10552.0,9101.172240146083,-1450.827759853917
27,2016-11-28,2016-11-28,7072.0,7684.901382577264,612.9013825772636
28,2016-11-29,2016-11-29,7361.0,6892.028352130279,-468.971647869721
29,2016-11-30,2016-11-30,11735.0,10961.97952631041,-773.0204736895903
30,2016-12-01,2016-12-01,11449.0,9735.387193954584,-1713.6128060454157
31,2016-12-02,2016-12-02,11539.0,9940.913098987074,-1598.0869010129263
32,2016-12-03,2016-12-03,10976.0,10094.523823967458,-881.4761760325418
33,2016-12-04,2016-12-04,11014.0,10039.43176278794,-974.5682372120591
34,2016-12-05,2016-12-05,7829.0,8813.32634607343,984.3263460734306
35,2016-12-06,2016-12-06,7344.0,8903.679772860818,1559.679772860818
36,2016-12-07,2016-12-07,12008.0,14908.49625485266,2900.49625485266
37,2016-12-08,2016-12-08,11590.0,12890.486297128715,1300.4862971287148
38,2016-12-09,2016-12-09,11174.0,12947.069733565137,1773.0697335651366
39,2016-12-10,2016-12-10,10767.0,12958.586222139938,2191.5862221399384
40,2016-12-11,2016-12-11,11311.0,12796.348214333579,1485.3482143335787
