,ds,ds,y,yhat,Local_Venda,diff
0,2016-11-01,2016-11-01,970.0,1096.4619440133351,Mindscape,126.46194401333514
1,2016-11-02,2016-11-02,1961.0,1961.2614208194482,Mindscape,0.2614208194481762
2,2016-11-03,2016-11-03,2509.0,1938.7238529167025,Mindscape,-570.2761470832975
3,2016-11-04,2016-11-04,2336.0,1933.493946133558,Mindscape,-402.506053866442
4,2016-11-05,2016-11-05,2441.0,1878.3477416927365,Mindscape,-562.6522583072635
5,2016-11-06,2016-11-06,2561.0,2633.083614436442,Mindscape,72.08361443644208
6,2016-11-07,2016-11-07,2200.0,3314.5389128345496,Mindscape,1114.5389128345496
7,2016-11-08,2016-11-08,2175.0,2932.537135454685,Mindscape,757.5371354546851
8,2016-11-09,2016-11-09,2914.0,3718.582685597803,Mindscape,804.582685597803
9,2016-11-10,2016-11-10,2644.0,3240.9876798155747,Mindscape,596.9876798155747
10,2016-11-11,2016-11-11,2762.0,3305.543770280872,Mindscape,543.5437702808722
11,2016-11-12,2016-11-12,2728.0,2813.614204923769,Mindscape,85.6142049237692
12,2016-11-13,2016-11-13,2948.0,2674.377222841543,Mindscape,-273.6227771584572
13,2016-11-14,2016-11-14,6812.0,3364.021703400201,Mindscape,-3447.978296599799
14,2016-11-15,2016-11-15,4140.0,4140.491919284377,Mindscape,0.491919284377218
15,2016-11-16,2016-11-16,3615.0,2933.1473510278515,Mindscape,-681.8526489721485
16,2016-11-17,2016-11-17,2374.0,2695.7515692828256,Mindscape,321.7515692828256
17,2016-11-18,2016-11-18,2344.0,2407.4041022852007,Mindscape,63.40410228520068
18,2016-11-19,2016-11-19,2383.0,2652.3876972112535,Mindscape,269.38769721125345
19,2016-11-20,2016-11-20,2108.0,2524.707351356078,Mindscape,416.7073513560781
20,2016-11-21,2016-11-21,1385.0,2403.749056407299,Mindscape,1018.7490564072991
21,2016-11-22,2016-11-22,1328.0,1987.7197075743657,Mindscape,659.7197075743657
22,2016-11-23,2016-11-23,2377.0,2709.7671058727924,Mindscape,332.7671058727924
23,2016-11-24,2016-11-24,2440.0,2326.711310040182,Mindscape,-113.28868995981793
24,2016-11-25,2016-11-25,2324.0,2186.11136417964,Mindscape,-137.88863582035992
25,2016-11-26,2016-11-26,2405.0,2222.6158182393965,Mindscape,-182.3841817606035
26,2016-11-27,2016-11-27,2424.0,1964.4549344452435,Mindscape,-459.54506555475655
27,2016-11-28,2016-11-28,1557.0,1749.0527467566749,Mindscape,192.05274675667488
28,2016-11-29,2016-11-29,1471.0,1485.0546565252619,Mindscape,14.054656525261862
29,2016-11-30,2016-11-30,2464.0,2360.527135580211,Mindscape,-103.47286441978895
30,2016-12-01,2016-12-01,2519.0,2077.748044881546,Mindscape,-441.25195511845413
31,2016-12-02,2016-12-02,2569.0,2170.104228280407,Mindscape,-398.8957717195931
32,2016-12-03,2016-12-03,2474.0,2185.9259368524195,Mindscape,-288.07406314758055
33,2016-12-04,2016-12-04,2449.0,2101.7774739794318,Mindscape,-347.22252602056824
34,2016-12-05,2016-12-05,1893.0,1893.1906637709699,Mindscape,0.19066377096987708
35,2016-12-06,2016-12-06,1639.0,1887.8637615544733,Mindscape,248.86376155447329
36,2016-12-07,2016-12-07,2755.0,3494.978001418161,Mindscape,739.978001418161
37,2016-12-08,2016-12-08,2605.0,3109.036030794843,Mindscape,504.0360307948431
38,2016-12-09,2016-12-09,2507.0,3042.9752765446174,Mindscape,535.9752765446174
39,2016-12-10,2016-12-10,2391.0,2934.551310671177,Mindscape,543.5513106711769
40,2016-12-11,2016-12-11,2611.0,2807.5816131169013,Mindscape,196.58161311690128
41,2016-12-12,2016-12-12,4612.0,2796.2508688562984,Mindscape,-1815.7491311437016
42,2016-12-13,2016-12-13,3699.0,2026.3342245637766,Mindscape,-1672.6657754362234
43,2016-12-14,2016-12-14,3306.0,3386.460966155897,Mindscape,80.46096615589704
44,2016-12-15,2016-12-15,2403.0,2963.4492147304486,Mindscape,560.4492147304486
45,2016-12-16,2016-12-16,2217.0,2298.812414523793,Mindscape,81.812414523793
46,2016-12-17,2016-12-17,2035.0,2521.537892881167,Mindscape,486.53789288116695
47,2016-12-18,2016-12-18,2342.0,2232.8335541834276,Mindscape,-109.16644581657238
48,2016-12-19,2016-12-19,1645.0,2313.8807118731393,Mindscape,668.8807118731393
49,2016-12-20,2016-12-20,1536.0,2239.994572207494,Mindscape,703.994572207494
50,2016-12-21,2016-12-21,2625.0,2748.7588020573303,Mindscape,123.75880205733029
51,2016-12-22,2016-12-22,2347.0,2111.654570813921,Mindscape,-235.34542918607895
52,2016-12-23,2016-12-23,2170.0,1959.7649119408397,Mindscape,-210.23508805916026
53,2016-12-24,2016-12-24,2163.0,1889.735871550995,Mindscape,-273.26412844900506
54,2016-12-25,2016-12-25,2263.0,2262.600764833802,Mindscape,-0.39923516619819566
55,2016-12-26,2016-12-26,1908.0,1661.7087826560542,Mindscape,-246.29121734394585
56,2016-12-27,2016-12-27,1463.0,1423.5223460795055,Mindscape,-39.477653920494504
57,2016-12-28,2016-12-28,1688.0,1948.4912620261287,Mindscape,260.49126202612865
58,2016-12-29,2016-12-29,1618.0,1481.325701332944,Mindscape,-136.67429866705606
59,2016-12-30,2016-12-30,2340.0,1782.52462227352,Mindscape,-557.47537772648
60,2016-12-31,2016-12-31,2500.0,2033.0830106746666,Mindscape,-466.91698932533336
61,2017-01-01,2017-01-01,2839.0,2839.007728968256,Mindscape,0.007728968255833024
62,2017-01-02,2017-01-02,2407.0,2647.2413950127952,Mindscape,240.24139501279524
63,2017-01-03,2017-01-03,2209.0,2665.888790278463,Mindscape,456.88879027846315
64,2017-01-04,2017-01-04,3216.0,3508.7682859520874,Mindscape,292.76828595208735
65,2017-01-05,2017-01-05,2959.0,3089.0823534722767,Mindscape,130.08235347227674
66,2017-01-06,2017-01-06,3068.0,4017.546371140261,Mindscape,949.5463711402608
