,ds,ds,y,yhat,Local_Venda,diff
0,2016-11-01,2016-11-01,1704.0,2174.0687724902223,Vast,470.0687724902223
1,2016-11-02,2016-11-02,3225.0,3225.2610273931828,Vast,0.2610273931827578
2,2016-11-03,2016-11-03,3170.0,3229.014091320977,Vast,59.01409132097706
3,2016-11-04,2016-11-04,3434.0,3096.6483696064806,Vast,-337.3516303935194
4,2016-11-05,2016-11-05,3393.0,3038.8244041869093,Vast,-354.1755958130907
5,2016-11-06,2016-11-06,4053.0,3682.7288345454763,Vast,-370.2711654545237
6,2016-11-07,2016-11-07,3668.0,3619.5781472707768,Vast,-48.42185272922325
7,2016-11-08,2016-11-08,3586.0,3562.0337562770505,Vast,-23.966243722949457
8,2016-11-09,2016-11-09,4132.0,4961.463502258251,Vast,829.4635022582506
9,2016-11-10,2016-11-10,3836.0,4445.716382801259,Vast,609.716382801259
10,2016-11-11,2016-11-11,3912.0,4314.6891315588455,Vast,402.6891315588455
11,2016-11-12,2016-11-12,3518.0,3728.1109959964524,Vast,210.1109959964524
12,2016-11-13,2016-11-13,3703.0,3534.5850384968894,Vast,-168.4149615031106
13,2016-11-14,2016-11-14,5491.0,3372.572761275128,Vast,-2118.427238724872
14,2016-11-15,2016-11-15,4214.0,4214.220467225412,Vast,0.22046722541199415
15,2016-11-16,2016-11-16,4458.0,3907.7903795211905,Vast,-550.2096204788095
16,2016-11-17,2016-11-17,3205.0,3350.160118627527,Vast,145.16011862752703
17,2016-11-18,2016-11-18,3063.0,3233.926550310002,Vast,170.92655031000186
18,2016-11-19,2016-11-19,3003.0,3485.7991388233227,Vast,482.79913882332266
19,2016-11-20,2016-11-20,2884.0,3248.668022743413,Vast,364.6680227434131
20,2016-11-21,2016-11-21,1996.0,2639.2462310124074,Vast,643.2462310124074
21,2016-11-22,2016-11-22,2149.0,2539.415645619774,Vast,390.41564561977384
22,2016-11-23,2016-11-23,3417.0,3641.904594667024,Vast,224.90459466702396
23,2016-11-24,2016-11-24,3245.0,2947.179390466109,Vast,-297.820609533891
24,2016-11-25,2016-11-25,2787.0,2749.4633025239505,Vast,-37.53669747604954
25,2016-11-26,2016-11-26,2881.0,2853.0343284643614,Vast,-27.96567153563865
26,2016-11-27,2016-11-27,2907.0,2626.157159951883,Vast,-280.84284004811707
