nm_empresa,AZUL LINHAS AÉREAS BRASILEIRAS S/A,AZUL LINHAS AÉREAS BRASILEIRAS S/A,AZUL LINHAS AÉREAS BRASILEIRAS S/A,AZUL LINHAS AÉREAS BRASILEIRAS S/A,AZUL LINHAS AÉREAS BRASILEIRAS S/A,AZUL LINHAS AÉREAS BRASILEIRAS S/A,AZUL LINHAS AÉREAS BRASILEIRAS S/A,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.)
diasemana_partida_real,Domingo,Quarta-feira,Quinta-feira,Segunda-feira,Sexta-feira,Sábado,Terça-feira,Domingo,Quarta-feira,Quinta-feira,Segunda-feira,Sexta-feira,Sábado,Terça-feira
count,28.0,22.0,28.0,35.0,30.0,19.0,23.0,26.0,19.0,21.0,33.0,28.0,21.0,18.0
mean,89.5892857142857,63.51818181818183,55.503571428571426,82.82571428571427,65.22666666666666,61.057894736842115,68.68260869565219,89.2346153846154,77.07894736842105,83.64285714285715,86.13333333333334,80.11071428571427,79.65714285714286,83.95555555555558
std,7.194150879590091,20.006894915399645,13.450223243166091,13.465387936071787,17.478004567975173,19.81568727014796,18.09828349906831,8.939482862344658,12.089875421992495,9.503345275668535,11.998090125793633,12.122594126662344,10.35159753026418,6.858761869250525
min,69.5,33.1,35.6,52.5,34.7,34.7,41.5,61.6,55.2,58.2,53.4,53.8,60.1,69.0
25%,86.875,45.324999999999996,44.9,70.3,47.5,44.1,54.2,86.75,67.1,79.7,82.3,73.52499999999999,71.3,80.275
50%,91.5,63.150000000000006,52.5,89.0,67.35,57.6,72.0,91.95,80.5,85.3,90.6,81.5,83.7,84.6
75%,94.29999999999998,80.75,59.55,91.95,78.6,76.25,83.9,94.475,85.75,91.3,95.3,89.925,87.6,88.94999999999999
max,100.0,96.6,92.4,97.5,94.9,93.2,97.5,98.9,96.6,96.7,99.4,95.4,93.0,95.0
