,nm_empresa,sg_iata_origem,nm_municipio_origem,sg_iata_destino,nm_municipio_destino,Quantidade de Voos
0,AZUL LINHAS AÉREAS BRASILEIRAS S/A,CNF,CONFINS,VCP,CAMPINAS,224
1,AZUL LINHAS AÉREAS BRASILEIRAS S/A,VCP,CAMPINAS,CNF,CONFINS,219
2,AZUL LINHAS AÉREAS BRASILEIRAS S/A,POA,PORTO ALEGRE,VCP,CAMPINAS,216
3,AZUL LINHAS AÉREAS BRASILEIRAS S/A,VCP,CAMPINAS,POA,PORTO ALEGRE,215
4,AZUL LINHAS AÉREAS BRASILEIRAS S/A,VCP,CAMPINAS,SDU,RIO DE JANEIRO,209
5,AZUL LINHAS AÉREAS BRASILEIRAS S/A,SDU,RIO DE JANEIRO,VCP,CAMPINAS,206
6,AZUL LINHAS AÉREAS BRASILEIRAS S/A,SDU,RIO DE JANEIRO,CGH,SÃO PAULO,185
7,AZUL LINHAS AÉREAS BRASILEIRAS S/A,CGH,SÃO PAULO,SDU,RIO DE JANEIRO,183
8,AZUL LINHAS AÉREAS BRASILEIRAS S/A,VCP,CAMPINAS,CWB,SÃO JOSÉ DOS PINHAIS,168
10,AZUL LINHAS AÉREAS BRASILEIRAS S/A,CWB,SÃO JOSÉ DOS PINHAIS,VCP,CAMPINAS,168
12,AZUL LINHAS AÉREAS BRASILEIRAS S/A,SDU,RIO DE JANEIRO,CNF,CONFINS,157
13,AZUL LINHAS AÉREAS BRASILEIRAS S/A,CNF,CONFINS,SDU,RIO DE JANEIRO,155
14,AZUL LINHAS AÉREAS BRASILEIRAS S/A,VCP,CAMPINAS,BSB,BRASÍLIA,150
15,AZUL LINHAS AÉREAS BRASILEIRAS S/A,BSB,BRASÍLIA,VCP,CAMPINAS,148
16,AZUL LINHAS AÉREAS BRASILEIRAS S/A,MAO,MANAUS,VCP,CAMPINAS,146
